PERMNO,#RIC
26614.0,SJI
26710.0,L
26825.0,K
27043.0,VAR
27254.0,STL
27334.0,CSL
27422.0,CLF
27562.0,CBRL.O
27633.0,R
27684.0,AVT
27705.0,IRF
27756.0,STR
27828.0,HPQ
27887.0,BAX
27888.0,CFR
27959.0,DUK
27983.0,XRX
27991.0,PNW
28222.0,APD
28345.0,MUR
28484.0,HES
28564.0,CTS
28804.0,ALK
29209.0,ARW
29612.0,AIT
29946.0,BFb
30147.0,DNEX.O
30402.0,CAS
30648.0,COHU.O
30680.0,CMC
30681.0,OMC
30737.0,ASNA.O
30940.0,FLS
31077.0,CUB
31500.0,EV
32054.0,ESIO.O
32110.0,ELMG.O
32707.0,HP
32803.0,HOC
32803.0,HFC
32870.0,HRL
32942.0,HUBb
32986.0,ATO
33209.0,ENZ
34032.0,MAS
34673.0,NR
34746.0,FITB.O
34817.0,NUE
34833.0,OXY
34948.0,OXM
35044.0,RF
35051.0,PLL
35107.0,PKE
35124.0,CLGX.K
35167.0,FMER.O
35238.0,PBY
35263.0,TRMK.O
35554.0,MTB
35685.0,FFBC.O
35917.0,FMBI.O
35991.0,ROG
36003.0,ROL
36397.0,FHN
36468.0,SHW
36898.0,SCL
37161.0,TE
37217.0,LDR
37234.0,FST
37284.0,TSO
37568.0,FELE.O
37584.0,BEN
37807.0,VAL
37875.0,FUL
37955.0,GKSR.O
37955.0,GK.O
38093.0,AJG
38149.0,BYI
38156.0,WMB
38578.0,TNB
38658.0,NVE
38659.0,GNTX.O
38682.0,RRD.O
38703.0,WFC
38755.0,GEOI.O
38762.0,NI
39087.0,S
39220.0,SMP
39490.0,APA
39538.0,MAT.O
39571.0,GGG
39642.0,BDX
39693.0,B
40125.0,CSC
40272.0,IFF
40416.0,AVP
40440.0,DBD
40539.0,TJX
40694.0,TXI
41080.0,CMI
41187.0,HE
41217.0,HVT
41292.0,HCSG.O
41355.0,PH
41929.0,CNW
42024.0,OMX
42083.0,ACV
42140.0,PNK
42200.0,PKI
42286.0,WWW
42439.0,HNI
42534.0,JCI
42550.0,NEU
42585.0,SJM
42796.0,MDP
42877.0,JBHT.O
42906.0,HBAN.O
43123.0,ATI
43350.0,SWK
43449.0,MCD
43481.0,SXI
43553.0,VFC
43721.0,LZ
43772.0,BMS
44134.0,KMT
44206.0,NU
44206.0,ES
44274.0,INSU.O
44274.0,AEGN.O
44329.0,TFX
44506.0,IDTI.O
44513.0,PULS.K
44601.0,AVY
44644.0,ADP.O
44768.0,IFSIA.O
44768.0,TILE.O
44943.0,DIOD.O
44951.0,SVU
45241.0,FRX
45277.0,IGT
45306.0,IDCC.O
45495.0,RDC
45655.0,CDI
45728.0,IVC
45751.0,MMC
45911.0,SWKS.O
46077.0,AXE
46392.0,ITG
46463.0,GFF
46578.0,CLX
46674.0,GPC
46690.0,CBT
46877.0,BCR
46886.0,KLAC.O
47002.0,KAMN.O
47002.0,KAMN.K
47205.0,KDN
47379.0,KELYA.O
47466.0,NYT
47677.0,CBB
47706.0,FSS
47730.0,ABM
47888.0,GRB
47896.0,JPM
47941.0,GCI
47941.0,TGNA.K
48144.0,KLIC.O
48267.0,LSI
48267.0,LSI.O
48274.0,GAS
48347.0,LZB
48389.0,UNS
48486.0,LRCX.O
48506.0,MCO
48523.0,LANC.O
48531.0,LNCE.O
48653.0,HUM
48725.0,UNP
48961.0,LAWS.O
49015.0,LNC
49154.0,TGT
49373.0,HRB
49488.0,LXU
49656.0,BK
49680.0,DHR
49905.0,LIZ
49905.0,FNP
49905.0,KATE.K
49971.0,PNY
50017.0,RRC
50278.0,URS
50606.0,TDW
50623.0,MTSC.O
50788.0,ESL
50876.0,LLY
50948.0,SMTC.O
51086.0,WGO
51369.0,TER
51377.0,NSM
51423.0,MCS
51457.0,OSG
51625.0,SCI
51633.0,VVC
51706.0,MI
52038.0,SYY
52090.0,MKC
52230.0,RHI
52329.0,JEC
52337.0,THC
52396.0,SUP
52476.0,EFX
52695.0,GWW
52708.0,LEN
52716.0,HRC
52813.0,MENT.O
52898.0,WTR
52936.0,MCY
52978.0,HAS.O
53065.0,IPG
53110.0,BMI
53197.0,MEI
53225.0,WPO
53480.0,MCRS.O
53613.0,MU.O
53640.0,MSCC.O
53663.0,UIL
53866.0,FDO
54114.0,MLHR.O
54148.0,PHM
54253.0,MSA
54594.0,AIR
54818.0,RDK
54818.0,HTSI.K
55001.0,TRN
55212.0,SPW
55212.0,SPXC.K
55213.0,RT
55511.0,PNM
55597.0,MTRN.K
55976.0,WMT
56040.0,NAFC.O
56063.0,FTO
56223.0,LPX
56274.0,CAG
56573.0,ITW
56611.0,NPBC.O
57154.0,GLT
57534.0,NEWP.O
57568.0,BLL
57665.0,NKE
57808.0,VSH
57809.0,NDSN.O
57817.0,JWN
57904.0,AFL
58246.0,NTRS.O
58318.0,TEX
58334.0,NWN
58560.0,ASEI.O
58683.0,LUV
58771.0,RBC
58819.0,LNT
58975.0,OII
59010.0,GPS
59045.0,KEX
59089.0,BRS
59176.0,AXP
59192.0,CB
59248.0,TAP
59328.0,INTC.O
59396.0,ORI
59408.0,BAC
59459.0,TRV
59619.0,SXT
59774.0,LDL
60097.0,MDT
60186.0,OMI
60206.0,SNA
60442.0,PNC
60506.0,PCAR.O
60580.0,TTC
60599.0,CTL
60628.0,FDX
60687.0,AFG
60871.0,ADI
60871.0,ADI.O
60943.0,LEG
60986.0,NWL
61138.0,PRX
61188.0,SWX
61241.0,AMD
61241.0,AMD.O
61313.0,DCI
61399.0,LOW
61516.0,BIO
61621.0,PAYX.O
61735.0,AON
61743.0,DLX
61807.0,MOGa
61815.0,NBL
61946.0,BKH
61955.0,PVA
62034.0,PNR
62042.0,PENX.O
62092.0,TMO
62148.0,CSX
62308.0,TMK
62341.0,PETD.O
62341.0,PDCE.O
62383.0,RYL
62498.0,WST
63125.0,AGYS.O
63335.0,PDC
63335.0,PES
63467.0,BRO
63503.0,CV
63714.0,OCR
63715.0,POWL.O
63765.0,SWN
63773.0,TDS
63781.0,UNT
63830.0,PCP
64135.0,WMS
64186.0,CI
64194.0,CHE
64282.0,LTD
64282.0,LB
64311.0,NSC
64390.0,PGR
64450.0,NJR
64486.0,PL
64557.0,CNL
64929.0,KWR
64936.0,D
64961.0,QSII.O
64995.0,KEY
65294.0,RLI
65306.0,UNF
65307.0,RPM
65330.0,LM
65365.0,MYE
65402.0,AOS
65541.0,COO
65875.0,VZ
66050.0,KID
66093.0,T
66114.0,TIN
66157.0,USB
66181.0,HD
66245.0,MDC
66325.0,SLM
66325.0,SLM.O
66376.0,WSO
66384.0,WDC
